| Epoch: 001 | Train Loss: 0.511 | Val. Loss: 0.381 | Val. Accuracy:  89.930 | offline updates:  33.495 | online udpates:  66.505 |
| Epoch: 002 | Train Loss: 0.446 | Val. Loss: 0.536 | Val. Accuracy:  86.730 | offline updates:  34.510 | online udpates:  65.490 |
| Epoch: 003 | Train Loss: 0.453 | Val. Loss: 0.369 | Val. Accuracy:  90.470 | offline updates:  38.365 | online udpates:  61.635 |
| Epoch: 004 | Train Loss: 0.444 | Val. Loss: 0.407 | Val. Accuracy:  89.940 | offline updates:  34.826 | online udpates:  65.174 |
| Epoch: 005 | Train Loss: 0.435 | Val. Loss: 0.438 | Val. Accuracy:  89.310 | offline updates:  31.540 | online udpates:  68.460 |
| Epoch: 006 | Train Loss: 0.443 | Val. Loss: 0.397 | Val. Accuracy:  90.680 | offline updates:  35.272 | online udpates:  64.728 |
| Epoch: 007 | Train Loss: 0.424 | Val. Loss: 0.481 | Val. Accuracy:  88.330 | offline updates:  30.398 | online udpates:  69.602 |
| Epoch: 008 | Train Loss: 0.443 | Val. Loss: 0.387 | Val. Accuracy:  91.290 | offline updates:  39.621 | online udpates:  60.379 |
| Epoch: 009 | Train Loss: 0.434 | Val. Loss: 0.667 | Val. Accuracy:  84.830 | offline updates:  33.323 | online udpates:  66.677 |
| Epoch: 010 | Train Loss: 0.439 | Val. Loss: 0.365 | Val. Accuracy:  91.500 | offline updates:  34.572 | online udpates:  65.428 |
| Epoch: 011 | Train Loss: 0.439 | Val. Loss: 0.567 | Val. Accuracy:  87.190 | offline updates:  39.112 | online udpates:  60.888 |
| Epoch: 012 | Train Loss: 0.447 | Val. Loss: 0.663 | Val. Accuracy:  85.100 | offline updates:  37.189 | online udpates:  62.811 |
| Epoch: 013 | Train Loss: 0.435 | Val. Loss: 0.651 | Val. Accuracy:  85.710 | offline updates:  33.042 | online udpates:  66.958 |
| Epoch: 014 | Train Loss: 0.429 | Val. Loss: 0.387 | Val. Accuracy:  91.150 | offline updates:  34.036 | online udpates:  65.964 |
| Epoch: 015 | Train Loss: 0.425 | Val. Loss: 0.404 | Val. Accuracy:  91.280 | offline updates:  31.509 | online udpates:  68.491 |
| Epoch: 016 | Train Loss: 0.422 | Val. Loss: 0.385 | Val. Accuracy:  91.370 | offline updates:  36.278 | online udpates:  63.722 |
| Epoch: 017 | Train Loss: 0.429 | Val. Loss: 0.445 | Val. Accuracy:  90.190 | offline updates:  33.175 | online udpates:  66.825 |
| Epoch: 018 | Train Loss: 0.432 | Val. Loss: 0.496 | Val. Accuracy:  88.530 | offline updates:  27.400 | online udpates:  72.600 |
| Epoch: 019 | Train Loss: 0.428 | Val. Loss: 0.442 | Val. Accuracy:  89.850 | offline updates:  37.655 | online udpates:  62.345 |
| Epoch: 020 | Train Loss: 0.428 | Val. Loss: 0.395 | Val. Accuracy:  90.760 | offline updates:  36.480 | online udpates:  63.520 |
| Epoch: 021 | Train Loss: 0.440 | Val. Loss: 0.544 | Val. Accuracy:  88.240 | offline updates:  36.322 | online udpates:  63.678 |
| Epoch: 022 | Train Loss: 0.437 | Val. Loss: 0.386 | Val. Accuracy:  91.190 | offline updates:  35.289 | online udpates:  64.711 |
| Epoch: 023 | Train Loss: 0.432 | Val. Loss: 0.429 | Val. Accuracy:  90.260 | offline updates:  39.047 | online udpates:  60.953 |
| Epoch: 024 | Train Loss: 0.423 | Val. Loss: 0.389 | Val. Accuracy:  91.270 | offline updates:  32.523 | online udpates:  67.477 |
| Epoch: 025 | Train Loss: 0.421 | Val. Loss: 0.605 | Val. Accuracy:  86.220 | offline updates:  30.053 | online udpates:  69.947 |
