| Epoch: 001 | Train Loss: 0.605 | Val. Loss: 0.472 | Val. Accuracy:  85.640 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 0.454 | Val. Loss: 0.405 | Val. Accuracy:  88.380 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.434 | Val. Loss: 0.416 | Val. Accuracy:  88.230 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 0.426 | Val. Loss: 0.435 | Val. Accuracy:  87.810 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.419 | Val. Loss: 0.422 | Val. Accuracy:  88.160 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 0.416 | Val. Loss: 0.433 | Val. Accuracy:  88.640 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.413 | Val. Loss: 0.494 | Val. Accuracy:  87.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.410 | Val. Loss: 0.387 | Val. Accuracy:  89.650 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.407 | Val. Loss: 0.453 | Val. Accuracy:  88.150 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.408 | Val. Loss: 0.368 | Val. Accuracy:  90.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 0.406 | Val. Loss: 0.456 | Val. Accuracy:  88.400 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.401 | Val. Loss: 0.492 | Val. Accuracy:  87.440 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 0.405 | Val. Loss: 0.376 | Val. Accuracy:  90.170 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.399 | Val. Loss: 0.395 | Val. Accuracy:  89.790 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.401 | Val. Loss: 0.422 | Val. Accuracy:  89.640 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.395 | Val. Loss: 0.381 | Val. Accuracy:  90.300 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 0.395 | Val. Loss: 0.452 | Val. Accuracy:  88.680 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.394 | Val. Loss: 0.440 | Val. Accuracy:  88.610 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.395 | Val. Loss: 0.408 | Val. Accuracy:  89.560 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.398 | Val. Loss: 0.410 | Val. Accuracy:  90.010 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.395 | Val. Loss: 0.407 | Val. Accuracy:  89.690 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.396 | Val. Loss: 0.426 | Val. Accuracy:  89.200 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.401 | Val. Loss: 0.362 | Val. Accuracy:  91.110 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.392 | Val. Loss: 0.376 | Val. Accuracy:  90.730 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 0.393 | Val. Loss: 0.441 | Val. Accuracy:  88.400 | offline updates:   0.000 | online udpates: 100.000 |
