| Epoch: 001 | Train Loss: 1.422 | Val. Loss: 0.752 | Val. Accuracy:  82.580 | offline updates:  35.296 | online udpates:  64.704 |
| Epoch: 002 | Train Loss: 0.575 | Val. Loss: 0.425 | Val. Accuracy:  88.710 | offline updates:  34.043 | online udpates:  65.957 |
| Epoch: 003 | Train Loss: 0.399 | Val. Loss: 0.343 | Val. Accuracy:  90.370 | offline updates:  29.771 | online udpates:  70.229 |
| Epoch: 004 | Train Loss: 0.345 | Val. Loss: 0.313 | Val. Accuracy:  91.300 | offline updates:  24.234 | online udpates:  75.766 |
| Epoch: 005 | Train Loss: 0.319 | Val. Loss: 0.299 | Val. Accuracy:  91.650 | offline updates:  24.511 | online udpates:  75.489 |
| Epoch: 006 | Train Loss: 0.304 | Val. Loss: 0.290 | Val. Accuracy:  91.820 | offline updates:  24.045 | online udpates:  75.955 |
| Epoch: 007 | Train Loss: 0.295 | Val. Loss: 0.285 | Val. Accuracy:  91.980 | offline updates:  26.646 | online udpates:  73.354 |
| Epoch: 008 | Train Loss: 0.287 | Val. Loss: 0.280 | Val. Accuracy:  92.100 | offline updates:  21.793 | online udpates:  78.207 |
| Epoch: 009 | Train Loss: 0.283 | Val. Loss: 0.280 | Val. Accuracy:  91.880 | offline updates:  25.134 | online udpates:  74.866 |
| Epoch: 010 | Train Loss: 0.279 | Val. Loss: 0.277 | Val. Accuracy:  91.860 | offline updates:  22.288 | online udpates:  77.712 |
| Epoch: 011 | Train Loss: 0.276 | Val. Loss: 0.275 | Val. Accuracy:  92.100 | offline updates:  24.081 | online udpates:  75.919 |
| Epoch: 012 | Train Loss: 0.272 | Val. Loss: 0.273 | Val. Accuracy:  92.110 | offline updates:  25.589 | online udpates:  74.411 |
| Epoch: 013 | Train Loss: 0.270 | Val. Loss: 0.274 | Val. Accuracy:  92.270 | offline updates:  22.387 | online udpates:  77.613 |
| Epoch: 014 | Train Loss: 0.269 | Val. Loss: 0.270 | Val. Accuracy:  92.180 | offline updates:  22.318 | online udpates:  77.682 |
| Epoch: 015 | Train Loss: 0.266 | Val. Loss: 0.270 | Val. Accuracy:  92.360 | offline updates:  22.490 | online udpates:  77.510 |
| Epoch: 016 | Train Loss: 0.265 | Val. Loss: 0.272 | Val. Accuracy:  92.280 | offline updates:  26.520 | online udpates:  73.480 |
| Epoch: 017 | Train Loss: 0.263 | Val. Loss: 0.271 | Val. Accuracy:  92.320 | offline updates:  22.904 | online udpates:  77.096 |
| Epoch: 018 | Train Loss: 0.263 | Val. Loss: 0.271 | Val. Accuracy:  92.320 | offline updates:  22.044 | online udpates:  77.956 |
| Epoch: 019 | Train Loss: 0.261 | Val. Loss: 0.270 | Val. Accuracy:  92.320 | offline updates:  24.574 | online udpates:  75.426 |
| Epoch: 020 | Train Loss: 0.260 | Val. Loss: 0.269 | Val. Accuracy:  92.350 | offline updates:  20.904 | online udpates:  79.096 |
| Epoch: 021 | Train Loss: 0.259 | Val. Loss: 0.271 | Val. Accuracy:  92.320 | offline updates:  22.263 | online udpates:  77.737 |
| Epoch: 022 | Train Loss: 0.258 | Val. Loss: 0.269 | Val. Accuracy:  92.430 | offline updates:  22.256 | online udpates:  77.744 |
| Epoch: 023 | Train Loss: 0.257 | Val. Loss: 0.270 | Val. Accuracy:  92.460 | offline updates:  28.850 | online udpates:  71.150 |
| Epoch: 024 | Train Loss: 0.256 | Val. Loss: 0.268 | Val. Accuracy:  92.520 | offline updates:  23.936 | online udpates:  76.064 |
| Epoch: 025 | Train Loss: 0.256 | Val. Loss: 0.274 | Val. Accuracy:  92.520 | offline updates:  22.967 | online udpates:  77.033 |
