| Epoch: 001 | Train Loss: 0.551 | Val. Loss: 0.357 | Val. Accuracy:  88.970 | offline updates:   1.186 | online udpates:  98.814 |
| Epoch: 002 | Train Loss: 0.346 | Val. Loss: 0.339 | Val. Accuracy:  90.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.333 | Val. Loss: 0.295 | Val. Accuracy:  91.510 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 0.322 | Val. Loss: 0.333 | Val. Accuracy:  89.940 | offline updates:   1.099 | online udpates:  98.901 |
| Epoch: 005 | Train Loss: 0.316 | Val. Loss: 0.303 | Val. Accuracy:  90.990 | offline updates:   0.494 | online udpates:  99.506 |
| Epoch: 006 | Train Loss: 0.315 | Val. Loss: 0.319 | Val. Accuracy:  91.450 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.311 | Val. Loss: 0.311 | Val. Accuracy:  91.020 | offline updates:   0.085 | online udpates:  99.915 |
| Epoch: 008 | Train Loss: 0.308 | Val. Loss: 0.330 | Val. Accuracy:  90.350 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.306 | Val. Loss: 0.322 | Val. Accuracy:  90.720 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.305 | Val. Loss: 0.333 | Val. Accuracy:  90.860 | offline updates:   0.012 | online udpates:  99.988 |
| Epoch: 011 | Train Loss: 0.304 | Val. Loss: 0.370 | Val. Accuracy:  89.600 | offline updates:   0.614 | online udpates:  99.386 |
| Epoch: 012 | Train Loss: 0.302 | Val. Loss: 0.330 | Val. Accuracy:  90.870 | offline updates:   0.011 | online udpates:  99.989 |
| Epoch: 013 | Train Loss: 0.302 | Val. Loss: 0.314 | Val. Accuracy:  91.470 | offline updates:   0.079 | online udpates:  99.921 |
| Epoch: 014 | Train Loss: 0.300 | Val. Loss: 0.310 | Val. Accuracy:  91.700 | offline updates:   0.084 | online udpates:  99.916 |
| Epoch: 015 | Train Loss: 0.298 | Val. Loss: 0.300 | Val. Accuracy:  91.760 | offline updates:   0.388 | online udpates:  99.612 |
| Epoch: 016 | Train Loss: 0.296 | Val. Loss: 0.330 | Val. Accuracy:  90.300 | offline updates:   1.164 | online udpates:  98.836 |
| Epoch: 017 | Train Loss: 0.297 | Val. Loss: 0.318 | Val. Accuracy:  91.070 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.296 | Val. Loss: 0.309 | Val. Accuracy:  91.350 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.294 | Val. Loss: 0.340 | Val. Accuracy:  90.620 | offline updates:   0.176 | online udpates:  99.824 |
| Epoch: 020 | Train Loss: 0.296 | Val. Loss: 0.345 | Val. Accuracy:  90.550 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.294 | Val. Loss: 0.318 | Val. Accuracy:  90.990 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.292 | Val. Loss: 0.294 | Val. Accuracy:  91.830 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.292 | Val. Loss: 0.292 | Val. Accuracy:  92.160 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.294 | Val. Loss: 0.312 | Val. Accuracy:  91.670 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 0.293 | Val. Loss: 0.327 | Val. Accuracy:  91.290 | offline updates:   0.000 | online udpates: 100.000 |
