| Epoch: 001 | Train Loss: 0.544 | Val. Loss: 0.355 | Val. Accuracy:  88.980 | offline updates:   0.106 | online udpates:  99.894 |
| Epoch: 002 | Train Loss: 0.347 | Val. Loss: 0.358 | Val. Accuracy:  88.790 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.333 | Val. Loss: 0.301 | Val. Accuracy:  91.610 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 0.324 | Val. Loss: 0.319 | Val. Accuracy:  90.550 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.316 | Val. Loss: 0.301 | Val. Accuracy:  91.080 | offline updates:   0.074 | online udpates:  99.926 |
| Epoch: 006 | Train Loss: 0.314 | Val. Loss: 0.304 | Val. Accuracy:  91.620 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.312 | Val. Loss: 0.320 | Val. Accuracy:  90.780 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.308 | Val. Loss: 0.301 | Val. Accuracy:  91.380 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.306 | Val. Loss: 0.315 | Val. Accuracy:  91.070 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.305 | Val. Loss: 0.307 | Val. Accuracy:  91.430 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 0.305 | Val. Loss: 0.331 | Val. Accuracy:  90.490 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.301 | Val. Loss: 0.326 | Val. Accuracy:  91.080 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 0.301 | Val. Loss: 0.301 | Val. Accuracy:  91.580 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.299 | Val. Loss: 0.325 | Val. Accuracy:  91.000 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.299 | Val. Loss: 0.320 | Val. Accuracy:  90.910 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.298 | Val. Loss: 0.324 | Val. Accuracy:  90.670 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 0.297 | Val. Loss: 0.329 | Val. Accuracy:  90.600 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.296 | Val. Loss: 0.311 | Val. Accuracy:  91.320 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.295 | Val. Loss: 0.329 | Val. Accuracy:  91.020 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.296 | Val. Loss: 0.346 | Val. Accuracy:  90.490 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.294 | Val. Loss: 0.318 | Val. Accuracy:  91.020 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.292 | Val. Loss: 0.295 | Val. Accuracy:  91.790 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.292 | Val. Loss: 0.292 | Val. Accuracy:  92.150 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.294 | Val. Loss: 0.312 | Val. Accuracy:  91.710 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 0.293 | Val. Loss: 0.327 | Val. Accuracy:  91.270 | offline updates:   0.000 | online udpates: 100.000 |
