| Epoch: 001 | Train Loss: 2.330 | Val. Loss: 2.532 | Val. Accuracy:  11.420 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 002 | Train Loss: 2.513 | Val. Loss: 2.472 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 003 | Train Loss: 2.457 | Val. Loss: 2.547 | Val. Accuracy:   9.800 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 004 | Train Loss: 2.467 | Val. Loss: 2.495 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 005 | Train Loss: 2.466 | Val. Loss: 2.529 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 006 | Train Loss: 2.457 | Val. Loss: 2.488 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 007 | Train Loss: 2.445 | Val. Loss: 2.492 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 008 | Train Loss: 2.468 | Val. Loss: 2.519 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 009 | Train Loss: 2.471 | Val. Loss: 2.474 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 010 | Train Loss: 2.449 | Val. Loss: 2.473 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 011 | Train Loss: 2.450 | Val. Loss: 2.435 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 012 | Train Loss: 2.451 | Val. Loss: 2.439 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 013 | Train Loss: 2.468 | Val. Loss: 2.445 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 014 | Train Loss: 2.449 | Val. Loss: 2.423 | Val. Accuracy:   9.800 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 015 | Train Loss: 2.438 | Val. Loss: 2.426 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 016 | Train Loss: 2.470 | Val. Loss: 2.410 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 017 | Train Loss: 2.465 | Val. Loss: 2.497 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 018 | Train Loss: 2.456 | Val. Loss: 2.459 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 019 | Train Loss: 2.462 | Val. Loss: 2.500 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 020 | Train Loss: 2.459 | Val. Loss: 2.469 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 021 | Train Loss: 2.455 | Val. Loss: 2.395 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 022 | Train Loss: 2.451 | Val. Loss: 2.486 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 023 | Train Loss: 2.461 | Val. Loss: 2.467 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 024 | Train Loss: 2.463 | Val. Loss: 2.512 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 025 | Train Loss: 2.451 | Val. Loss: 2.438 | Val. Accuracy:  10.090 | offline updates:   0.000 | online udpates:   0.000 |
