| Epoch: 001 | Train Loss: 6.460 | Val. Loss: 9.962 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 002 | Train Loss: 10.782 | Val. Loss: 7.576 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 003 | Train Loss: 10.705 | Val. Loss: 12.071 | Val. Accuracy:   9.800 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 004 | Train Loss: 11.137 | Val. Loss: 10.577 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 005 | Train Loss: 10.884 | Val. Loss: 10.841 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 006 | Train Loss: 11.170 | Val. Loss: 9.675 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 007 | Train Loss: 11.004 | Val. Loss: 12.576 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 008 | Train Loss: 11.061 | Val. Loss: 8.198 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 009 | Train Loss: 10.934 | Val. Loss: 14.849 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 010 | Train Loss: 10.896 | Val. Loss: 12.668 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 011 | Train Loss: 10.820 | Val. Loss: 13.030 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 012 | Train Loss: 11.129 | Val. Loss: 11.536 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 013 | Train Loss: 11.111 | Val. Loss: 10.803 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 014 | Train Loss: 10.845 | Val. Loss: 11.374 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 015 | Train Loss: 11.143 | Val. Loss: 6.982 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 016 | Train Loss: 11.004 | Val. Loss: 12.905 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 017 | Train Loss: 10.954 | Val. Loss: 11.744 | Val. Accuracy:  10.090 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 018 | Train Loss: 10.987 | Val. Loss: 9.253 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 019 | Train Loss: 11.075 | Val. Loss: 13.679 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 020 | Train Loss: 10.996 | Val. Loss: 8.468 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 021 | Train Loss: 10.888 | Val. Loss: 10.644 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 022 | Train Loss: 10.935 | Val. Loss: 13.862 | Val. Accuracy:   9.800 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 023 | Train Loss: 11.021 | Val. Loss: 9.509 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 024 | Train Loss: 11.038 | Val. Loss: 9.486 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 025 | Train Loss: 10.959 | Val. Loss: 13.821 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
