| Epoch: 001 | Train Loss: 8.265 | Val. Loss: 8.702 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 002 | Train Loss: 11.145 | Val. Loss: 12.741 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 003 | Train Loss: 10.858 | Val. Loss: 13.372 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 004 | Train Loss: 11.048 | Val. Loss: 10.323 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 005 | Train Loss: 10.800 | Val. Loss: 10.095 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 006 | Train Loss: 10.990 | Val. Loss: 10.727 | Val. Accuracy:   9.800 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 007 | Train Loss: 11.028 | Val. Loss: 10.196 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 008 | Train Loss: 11.047 | Val. Loss: 9.726 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 009 | Train Loss: 10.987 | Val. Loss: 8.976 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 010 | Train Loss: 11.166 | Val. Loss: 9.548 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 011 | Train Loss: 11.153 | Val. Loss: 16.424 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 012 | Train Loss: 10.805 | Val. Loss: 9.910 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 013 | Train Loss: 11.237 | Val. Loss: 9.577 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 014 | Train Loss: 10.941 | Val. Loss: 9.952 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 015 | Train Loss: 11.240 | Val. Loss: 7.590 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 016 | Train Loss: 10.884 | Val. Loss: 12.183 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 017 | Train Loss: 10.905 | Val. Loss: 8.610 | Val. Accuracy:   8.920 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 018 | Train Loss: 11.345 | Val. Loss: 10.654 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 019 | Train Loss: 11.267 | Val. Loss: 11.165 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 020 | Train Loss: 10.919 | Val. Loss: 9.801 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 021 | Train Loss: 11.006 | Val. Loss: 10.262 | Val. Accuracy:  10.090 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 022 | Train Loss: 10.922 | Val. Loss: 9.649 | Val. Accuracy:  11.350 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 023 | Train Loss: 10.889 | Val. Loss: 12.003 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 024 | Train Loss: 11.234 | Val. Loss: 9.006 | Val. Accuracy:  10.320 | offline updates:   0.000 | online udpates:   0.000 |
| Epoch: 025 | Train Loss: 11.072 | Val. Loss: 11.098 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates:   0.000 |
