| Epoch: 001 | Train Loss: 26.346 | Val. Loss: 21.699 | Val. Accuracy:  77.040 | offline updates:  29.097 | online udpates:  70.903 |
| Epoch: 002 | Train Loss: 12.706 | Val. Loss: 7.497 | Val. Accuracy:  81.060 | offline updates:   3.499 | online udpates:  96.501 |
| Epoch: 003 | Train Loss: 4.038 | Val. Loss: 2.002 | Val. Accuracy:  66.100 | offline updates:   7.649 | online udpates:  92.351 |
| Epoch: 004 | Train Loss: 2.025 | Val. Loss: 2.488 | Val. Accuracy:  33.740 | offline updates:  17.701 | online udpates:  82.299 |
| Epoch: 005 | Train Loss: 2.991 | Val. Loss: 4.145 | Val. Accuracy:  17.370 | offline updates:  40.379 | online udpates:  59.621 |
| Epoch: 006 | Train Loss: 3.481 | Val. Loss: 3.373 | Val. Accuracy:  11.540 | offline updates:  44.768 | online udpates:  55.232 |
| Epoch: 007 | Train Loss: 3.690 | Val. Loss: 2.781 | Val. Accuracy:  10.150 | offline updates:  50.995 | online udpates:  49.005 |
| Epoch: 008 | Train Loss: 3.714 | Val. Loss: 4.536 | Val. Accuracy:   9.840 | offline updates:  73.947 | online udpates:  26.053 |
| Epoch: 009 | Train Loss: 3.692 | Val. Loss: 4.450 | Val. Accuracy:   9.840 | offline updates:  61.753 | online udpates:  38.247 |
| Epoch: 010 | Train Loss: 3.869 | Val. Loss: 4.591 | Val. Accuracy:  11.410 | offline updates:  65.845 | online udpates:  34.155 |
| Epoch: 011 | Train Loss: 3.760 | Val. Loss: 4.224 | Val. Accuracy:  11.410 | offline updates:  71.943 | online udpates:  28.057 |
| Epoch: 012 | Train Loss: 3.690 | Val. Loss: 3.308 | Val. Accuracy:  11.410 | offline updates:  27.353 | online udpates:  72.647 |
| Epoch: 013 | Train Loss: 3.748 | Val. Loss: 3.471 | Val. Accuracy:  10.300 | offline updates:  75.132 | online udpates:  24.868 |
| Epoch: 014 | Train Loss: 3.843 | Val. Loss: 3.148 | Val. Accuracy:   8.970 | offline updates:  69.743 | online udpates:  30.257 |
| Epoch: 015 | Train Loss: 3.762 | Val. Loss: 3.677 | Val. Accuracy:   9.840 | offline updates:  67.344 | online udpates:  32.656 |
| Epoch: 016 | Train Loss: 3.699 | Val. Loss: 4.523 | Val. Accuracy:   9.840 | offline updates:  63.904 | online udpates:  36.096 |
| Epoch: 017 | Train Loss: 3.718 | Val. Loss: 4.037 | Val. Accuracy:  10.300 | offline updates:  67.026 | online udpates:  32.974 |
| Epoch: 018 | Train Loss: 3.853 | Val. Loss: 4.299 | Val. Accuracy:  11.410 | offline updates:  75.296 | online udpates:  24.704 |
| Epoch: 019 | Train Loss: 3.764 | Val. Loss: 4.439 | Val. Accuracy:   9.880 | offline updates:  70.091 | online udpates:  29.909 |
| Epoch: 020 | Train Loss: 3.824 | Val. Loss: 3.917 | Val. Accuracy:   9.840 | offline updates:  60.177 | online udpates:  39.823 |
| Epoch: 021 | Train Loss: 3.790 | Val. Loss: 3.017 | Val. Accuracy:   9.880 | offline updates:  62.813 | online udpates:  37.187 |
| Epoch: 022 | Train Loss: 3.766 | Val. Loss: 4.145 | Val. Accuracy:  11.410 | offline updates:  68.439 | online udpates:  31.561 |
| Epoch: 023 | Train Loss: 3.804 | Val. Loss: 4.426 | Val. Accuracy:   9.840 | offline updates:  67.788 | online udpates:  32.212 |
| Epoch: 024 | Train Loss: 3.760 | Val. Loss: 3.749 | Val. Accuracy:  10.150 | offline updates:  66.357 | online udpates:  33.643 |
| Epoch: 025 | Train Loss: 3.885 | Val. Loss: 3.471 | Val. Accuracy:   9.640 | offline updates:  64.387 | online udpates:  35.613 |
