| Epoch: 001 | Train Loss: 0.588 | Val. Loss: 0.313 | Val. Accuracy:  90.710 | offline updates:  30.480 | online udpates:  69.520 |
| Epoch: 002 | Train Loss: 0.243 | Val. Loss: 0.184 | Val. Accuracy:  94.600 | offline updates:  29.914 | online udpates:  70.086 |
| Epoch: 003 | Train Loss: 0.166 | Val. Loss: 0.152 | Val. Accuracy:  95.590 | offline updates:  28.940 | online udpates:  71.060 |
| Epoch: 004 | Train Loss: 0.137 | Val. Loss: 0.124 | Val. Accuracy:  96.230 | offline updates:  22.311 | online udpates:  77.689 |
| Epoch: 005 | Train Loss: 0.120 | Val. Loss: 0.133 | Val. Accuracy:  95.960 | offline updates:  23.478 | online udpates:  76.522 |
| Epoch: 006 | Train Loss: 0.109 | Val. Loss: 0.145 | Val. Accuracy:  95.370 | offline updates:  20.374 | online udpates:  79.626 |
| Epoch: 007 | Train Loss: 0.099 | Val. Loss: 0.133 | Val. Accuracy:  96.220 | offline updates:  25.333 | online udpates:  74.667 |
| Epoch: 008 | Train Loss: 0.095 | Val. Loss: 0.136 | Val. Accuracy:  96.310 | offline updates:  15.867 | online udpates:  84.133 |
| Epoch: 009 | Train Loss: 0.091 | Val. Loss: 0.126 | Val. Accuracy:  96.520 | offline updates:  17.337 | online udpates:  82.663 |
| Epoch: 010 | Train Loss: 0.085 | Val. Loss: 0.145 | Val. Accuracy:  95.990 | offline updates:  18.493 | online udpates:  81.507 |
| Epoch: 011 | Train Loss: 0.082 | Val. Loss: 0.128 | Val. Accuracy:  96.600 | offline updates:  21.134 | online udpates:  78.866 |
| Epoch: 012 | Train Loss: 0.077 | Val. Loss: 0.145 | Val. Accuracy:  96.280 | offline updates:  16.903 | online udpates:  83.097 |
| Epoch: 013 | Train Loss: 0.075 | Val. Loss: 0.152 | Val. Accuracy:  96.080 | offline updates:  16.441 | online udpates:  83.559 |
| Epoch: 014 | Train Loss: 0.072 | Val. Loss: 0.134 | Val. Accuracy:  96.520 | offline updates:  15.785 | online udpates:  84.215 |
| Epoch: 015 | Train Loss: 0.069 | Val. Loss: 0.147 | Val. Accuracy:  96.520 | offline updates:  14.900 | online udpates:  85.100 |
| Epoch: 016 | Train Loss: 0.067 | Val. Loss: 0.156 | Val. Accuracy:  96.220 | offline updates:  17.510 | online udpates:  82.490 |
| Epoch: 017 | Train Loss: 0.063 | Val. Loss: 0.159 | Val. Accuracy:  96.390 | offline updates:  15.046 | online udpates:  84.954 |
| Epoch: 018 | Train Loss: 0.061 | Val. Loss: 0.164 | Val. Accuracy:  96.370 | offline updates:  14.488 | online udpates:  85.512 |
| Epoch: 019 | Train Loss: 0.059 | Val. Loss: 0.158 | Val. Accuracy:  96.480 | offline updates:  14.302 | online udpates:  85.698 |
| Epoch: 020 | Train Loss: 0.058 | Val. Loss: 0.176 | Val. Accuracy:  96.210 | offline updates:  13.765 | online udpates:  86.235 |
| Epoch: 021 | Train Loss: 0.056 | Val. Loss: 0.181 | Val. Accuracy:  96.130 | offline updates:  14.346 | online udpates:  85.654 |
| Epoch: 022 | Train Loss: 0.057 | Val. Loss: 0.181 | Val. Accuracy:  96.260 | offline updates:  14.344 | online udpates:  85.656 |
| Epoch: 023 | Train Loss: 0.053 | Val. Loss: 0.179 | Val. Accuracy:  96.480 | offline updates:  12.832 | online udpates:  87.168 |
| Epoch: 024 | Train Loss: 0.052 | Val. Loss: 0.186 | Val. Accuracy:  96.310 | offline updates:  15.529 | online udpates:  84.471 |
| Epoch: 025 | Train Loss: 0.051 | Val. Loss: 0.182 | Val. Accuracy:  96.510 | offline updates:  13.070 | online udpates:  86.930 |
