| Epoch: 001 | Train Loss: 4.410 | Val. Loss: 5.105 | Val. Accuracy:   9.060 | offline updates:   0.319 | online udpates:  99.681 |
| Epoch: 002 | Train Loss: 7.269 | Val. Loss: 9.683 | Val. Accuracy:  10.280 | offline updates:   1.766 | online udpates:  98.234 |
| Epoch: 003 | Train Loss: 7.923 | Val. Loss: 6.165 | Val. Accuracy:  10.240 | offline updates:  12.231 | online udpates:  87.769 |
| Epoch: 004 | Train Loss: 7.607 | Val. Loss: 7.099 | Val. Accuracy:  11.350 | offline updates:  15.599 | online udpates:  84.401 |
| Epoch: 005 | Train Loss: 7.805 | Val. Loss: 7.473 | Val. Accuracy:  10.100 | offline updates:  25.751 | online udpates:  74.249 |
| Epoch: 006 | Train Loss: 8.014 | Val. Loss: 8.876 | Val. Accuracy:  10.100 | offline updates:  22.048 | online udpates:  77.952 |
| Epoch: 007 | Train Loss: 7.781 | Val. Loss: 7.172 | Val. Accuracy:   9.580 | offline updates:  15.430 | online udpates:  84.570 |
| Epoch: 008 | Train Loss: 7.586 | Val. Loss: 7.617 | Val. Accuracy:   9.800 | offline updates:  18.461 | online udpates:  81.539 |
| Epoch: 009 | Train Loss: 7.455 | Val. Loss: 8.801 | Val. Accuracy:   9.820 | offline updates:   6.010 | online udpates:  93.990 |
| Epoch: 010 | Train Loss: 7.610 | Val. Loss: 5.288 | Val. Accuracy:   9.740 | offline updates:   0.927 | online udpates:  99.073 |
| Epoch: 011 | Train Loss: 7.996 | Val. Loss: 12.362 | Val. Accuracy:   8.920 | offline updates:  27.647 | online udpates:  72.353 |
| Epoch: 012 | Train Loss: 8.185 | Val. Loss: 6.722 | Val. Accuracy:  10.320 | offline updates:  71.787 | online udpates:  28.213 |
| Epoch: 013 | Train Loss: 7.358 | Val. Loss: 10.435 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 014 | Train Loss: 7.889 | Val. Loss: 7.841 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 015 | Train Loss: 7.476 | Val. Loss: 9.469 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 016 | Train Loss: 7.882 | Val. Loss: 8.963 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 017 | Train Loss: 7.611 | Val. Loss: 6.800 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 018 | Train Loss: 7.704 | Val. Loss: 7.127 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 019 | Train Loss: 7.760 | Val. Loss: 6.581 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 020 | Train Loss: 7.559 | Val. Loss: 7.823 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 021 | Train Loss: 7.616 | Val. Loss: 7.683 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 022 | Train Loss: 7.634 | Val. Loss: 7.262 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 023 | Train Loss: 7.746 | Val. Loss: 6.666 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 024 | Train Loss: 7.737 | Val. Loss: 5.679 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 025 | Train Loss: 7.490 | Val. Loss: 9.863 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
