| Epoch: 001 | Train Loss: 5.171 | Val. Loss: 8.165 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 7.218 | Val. Loss: 8.932 | Val. Accuracy:  11.360 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 7.465 | Val. Loss: 8.253 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 7.415 | Val. Loss: 9.463 | Val. Accuracy:  11.350 | offline updates:  12.580 | online udpates:  87.420 |
| Epoch: 005 | Train Loss: 8.049 | Val. Loss: 4.793 | Val. Accuracy:   9.740 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 8.049 | Val. Loss: 6.572 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 8.393 | Val. Loss: 8.734 | Val. Accuracy:  10.280 | offline updates:  28.233 | online udpates:  71.767 |
| Epoch: 008 | Train Loss: 7.985 | Val. Loss: 5.407 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 009 | Train Loss: 7.666 | Val. Loss: 7.382 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 010 | Train Loss: 7.919 | Val. Loss: 10.694 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 011 | Train Loss: 7.912 | Val. Loss: 5.414 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 012 | Train Loss: 7.970 | Val. Loss: 6.249 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 013 | Train Loss: 7.487 | Val. Loss: 7.529 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 014 | Train Loss: 7.750 | Val. Loss: 7.821 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 015 | Train Loss: 7.638 | Val. Loss: 9.367 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 016 | Train Loss: 7.755 | Val. Loss: 5.927 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 017 | Train Loss: 7.527 | Val. Loss: 7.873 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 018 | Train Loss: 7.620 | Val. Loss: 6.752 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 019 | Train Loss: 7.773 | Val. Loss: 8.062 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 020 | Train Loss: 7.707 | Val. Loss: 6.494 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 021 | Train Loss: 7.859 | Val. Loss: 8.749 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 022 | Train Loss: 7.702 | Val. Loss: 7.978 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 023 | Train Loss: 7.414 | Val. Loss: 7.571 | Val. Accuracy:  10.090 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 024 | Train Loss: 7.485 | Val. Loss: 8.315 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 025 | Train Loss: 7.916 | Val. Loss: 12.193 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
