| Epoch: 001 | Train Loss: 17.651 | Val. Loss: 21.355 | Val. Accuracy:  10.090 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 23.063 | Val. Loss: 19.428 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 23.252 | Val. Loss: 13.058 | Val. Accuracy:  10.320 | offline updates:  20.331 | online udpates:  79.669 |
| Epoch: 004 | Train Loss: 23.040 | Val. Loss: 18.746 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 005 | Train Loss: 22.930 | Val. Loss: 20.012 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 006 | Train Loss: 22.926 | Val. Loss: 20.944 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 007 | Train Loss: 23.085 | Val. Loss: 13.647 | Val. Accuracy:   9.820 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 008 | Train Loss: 23.166 | Val. Loss: 22.316 | Val. Accuracy:  10.100 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 009 | Train Loss: 22.930 | Val. Loss: 20.734 | Val. Accuracy:   9.800 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 010 | Train Loss: 23.179 | Val. Loss: 17.234 | Val. Accuracy:   9.800 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 011 | Train Loss: 22.665 | Val. Loss: 17.307 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 012 | Train Loss: 23.363 | Val. Loss: 31.803 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 013 | Train Loss: 22.765 | Val. Loss: 19.809 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 014 | Train Loss: 23.090 | Val. Loss: 22.149 | Val. Accuracy:   9.800 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 015 | Train Loss: 23.148 | Val. Loss: 31.913 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 016 | Train Loss: 22.674 | Val. Loss: 21.112 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 017 | Train Loss: 23.111 | Val. Loss: 30.644 | Val. Accuracy:   9.800 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 018 | Train Loss: 23.367 | Val. Loss: 19.008 | Val. Accuracy:  10.320 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 019 | Train Loss: 22.419 | Val. Loss: 16.727 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 020 | Train Loss: 23.665 | Val. Loss: 29.512 | Val. Accuracy:   9.740 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 021 | Train Loss: 23.156 | Val. Loss: 29.472 | Val. Accuracy:   9.580 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 022 | Train Loss: 23.034 | Val. Loss: 27.071 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 023 | Train Loss: 23.000 | Val. Loss: 26.781 | Val. Accuracy:   8.920 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 024 | Train Loss: 23.360 | Val. Loss: 22.348 | Val. Accuracy:  11.350 | offline updates:  75.000 | online udpates:  25.000 |
| Epoch: 025 | Train Loss: 22.716 | Val. Loss: 21.940 | Val. Accuracy:  10.280 | offline updates:  75.000 | online udpates:  25.000 |
