| Epoch: 001 | Train Loss: 2.254 | Val. Loss: 2.127 | Val. Accuracy:  26.150 | offline updates:   1.050 | online udpates:  98.950 |
| Epoch: 002 | Train Loss: 3.349 | Val. Loss: 3.221 | Val. Accuracy:  10.280 | offline updates:   3.240 | online udpates:  96.760 |
| Epoch: 003 | Train Loss: 3.408 | Val. Loss: 4.148 | Val. Accuracy:  10.100 | offline updates:   3.924 | online udpates:  96.076 |
| Epoch: 004 | Train Loss: 3.734 | Val. Loss: 3.666 | Val. Accuracy:  10.100 | offline updates:   0.690 | online udpates:  99.310 |
| Epoch: 005 | Train Loss: 3.830 | Val. Loss: 3.716 | Val. Accuracy:   9.820 | offline updates:   5.756 | online udpates:  94.244 |
| Epoch: 006 | Train Loss: 3.707 | Val. Loss: 3.560 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 3.728 | Val. Loss: 3.806 | Val. Accuracy:  10.280 | offline updates:   0.047 | online udpates:  99.953 |
| Epoch: 008 | Train Loss: 3.662 | Val. Loss: 4.095 | Val. Accuracy:   9.780 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 3.683 | Val. Loss: 3.226 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 3.669 | Val. Loss: 4.956 | Val. Accuracy:   9.790 | offline updates:   0.089 | online udpates:  99.911 |
| Epoch: 011 | Train Loss: 3.782 | Val. Loss: 3.379 | Val. Accuracy:  11.350 | offline updates:   0.789 | online udpates:  99.211 |
| Epoch: 012 | Train Loss: 3.679 | Val. Loss: 3.536 | Val. Accuracy:   9.580 | offline updates:   0.410 | online udpates:  99.590 |
| Epoch: 013 | Train Loss: 3.742 | Val. Loss: 3.676 | Val. Accuracy:  10.100 | offline updates:   0.573 | online udpates:  99.427 |
| Epoch: 014 | Train Loss: 3.709 | Val. Loss: 3.397 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 3.717 | Val. Loss: 4.501 | Val. Accuracy:   8.920 | offline updates:   0.433 | online udpates:  99.567 |
| Epoch: 016 | Train Loss: 3.683 | Val. Loss: 3.360 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 3.746 | Val. Loss: 3.935 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 3.784 | Val. Loss: 3.193 | Val. Accuracy:  10.100 | offline updates:   3.831 | online udpates:  96.169 |
| Epoch: 019 | Train Loss: 3.740 | Val. Loss: 3.098 | Val. Accuracy:  10.280 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 3.767 | Val. Loss: 3.871 | Val. Accuracy:  10.090 | offline updates:   0.796 | online udpates:  99.204 |
| Epoch: 021 | Train Loss: 3.749 | Val. Loss: 4.519 | Val. Accuracy:  10.100 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 3.772 | Val. Loss: 3.094 | Val. Accuracy:  10.280 | offline updates:   0.814 | online udpates:  99.186 |
| Epoch: 023 | Train Loss: 3.679 | Val. Loss: 3.588 | Val. Accuracy:   9.580 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 3.705 | Val. Loss: 4.144 | Val. Accuracy:  10.100 | offline updates:   1.291 | online udpates:  98.709 |
| Epoch: 025 | Train Loss: 3.758 | Val. Loss: 4.238 | Val. Accuracy:   9.820 | offline updates:   0.000 | online udpates: 100.000 |
