| Epoch: 001 | Train Loss: 0.695 | Val. Loss: 0.364 | Val. Accuracy:  89.180 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 002 | Train Loss: 0.350 | Val. Loss: 0.297 | Val. Accuracy:  91.430 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 003 | Train Loss: 0.278 | Val. Loss: 0.237 | Val. Accuracy:  92.380 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 004 | Train Loss: 0.231 | Val. Loss: 0.204 | Val. Accuracy:  93.590 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 005 | Train Loss: 0.200 | Val. Loss: 0.169 | Val. Accuracy:  94.680 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 006 | Train Loss: 0.177 | Val. Loss: 0.192 | Val. Accuracy:  93.930 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 007 | Train Loss: 0.159 | Val. Loss: 0.166 | Val. Accuracy:  94.910 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 008 | Train Loss: 0.145 | Val. Loss: 0.166 | Val. Accuracy:  95.210 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 009 | Train Loss: 0.135 | Val. Loss: 0.135 | Val. Accuracy:  95.900 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 010 | Train Loss: 0.126 | Val. Loss: 0.167 | Val. Accuracy:  95.080 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 011 | Train Loss: 0.120 | Val. Loss: 0.140 | Val. Accuracy:  95.840 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 012 | Train Loss: 0.116 | Val. Loss: 0.142 | Val. Accuracy:  95.770 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 013 | Train Loss: 0.110 | Val. Loss: 0.147 | Val. Accuracy:  95.670 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 014 | Train Loss: 0.106 | Val. Loss: 0.143 | Val. Accuracy:  95.680 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 015 | Train Loss: 0.101 | Val. Loss: 0.172 | Val. Accuracy:  95.430 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 016 | Train Loss: 0.099 | Val. Loss: 0.147 | Val. Accuracy:  95.720 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 017 | Train Loss: 0.095 | Val. Loss: 0.133 | Val. Accuracy:  96.270 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 018 | Train Loss: 0.092 | Val. Loss: 0.120 | Val. Accuracy:  96.520 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 019 | Train Loss: 0.088 | Val. Loss: 0.138 | Val. Accuracy:  96.220 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 020 | Train Loss: 0.089 | Val. Loss: 0.133 | Val. Accuracy:  96.400 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 021 | Train Loss: 0.086 | Val. Loss: 0.142 | Val. Accuracy:  96.040 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 022 | Train Loss: 0.084 | Val. Loss: 0.178 | Val. Accuracy:  95.360 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 023 | Train Loss: 0.082 | Val. Loss: 0.146 | Val. Accuracy:  96.000 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 024 | Train Loss: 0.079 | Val. Loss: 0.126 | Val. Accuracy:  96.760 | offline updates:   0.000 | online udpates: 100.000 |
| Epoch: 025 | Train Loss: 0.077 | Val. Loss: 0.139 | Val. Accuracy:  96.200 | offline updates:   0.000 | online udpates: 100.000 |
